DATE,CSUSHPINSA
1995-09-01,81.75399999999999
1995-10-01,81.744
1995-11-01,81.649
1995-12-01,81.532
1996-01-01,81.447
1996-02-01,81.42
1996-03-01,81.686
1996-04-01,82.14399999999999
1996-05-01,82.62200000000001
1996-06-01,83.07
1996-07-01,83.443
1996-08-01,83.671
1996-09-01,83.727
1996-10-01,83.65299999999999
1996-11-01,83.58
1996-12-01,83.514
1997-01-01,83.553
1997-02-01,83.618
1997-03-01,83.934
1997-04-01,84.348
1997-05-01,84.89399999999999
1997-06-01,85.428
1997-07-01,85.87
1997-08-01,86.179
1997-09-01,86.339
1997-10-01,86.436
1997-11-01,86.65899999999999
1997-12-01,86.876
1998-01-01,87.19200000000001
1998-02-01,87.40299999999999
1998-03-01,87.90700000000001
1998-04-01,88.586
1998-05-01,89.402
1998-06-01,90.22200000000001
1998-07-01,90.88600000000001
1998-08-01,91.43299999999999
1998-09-01,91.77799999999999
1998-10-01,92.025
1998-11-01,92.22200000000001
1998-12-01,92.469
1999-01-01,92.73899999999999
1999-02-01,93.006
1999-03-01,93.637
1999-04-01,94.464
1999-05-01,95.389
1999-06-01,96.39200000000001
1999-07-01,97.22
1999-08-01,97.925
1999-09-01,98.429
1999-10-01,98.86399999999999
1999-11-01,99.18299999999999
1999-12-01,99.57700000000001
2000-01-01,100.00
2000-02-01,100.57
2000-03-01,101.46600000000001
2000-04-01,102.541
2000-05-01,103.70200000000001
2000-06-01,104.85600000000001
2000-07-01,105.72200000000001
2000-08-01,106.522
2000-09-01,107.135
2000-10-01,107.728
2000-11-01,108.291
2000-12-01,108.792
2001-01-01,109.215
2001-02-01,109.64299999999999
2001-03-01,110.395
2001-04-01,111.24799999999999
2001-05-01,112.204
2001-06-01,113.274
2001-07-01,114.23
2001-08-01,114.991
2001-09-01,115.46700000000001
2001-10-01,115.682
2001-11-01,115.839
2001-12-01,116.056
2002-01-01,116.43799999999999
2002-02-01,116.91799999999999
2002-03-01,117.932
2002-04-01,119.213
2002-05-01,120.792
2002-06-01,122.335
2002-07-01,123.68700000000001
2002-08-01,124.729
2002-09-01,125.493
2002-10-01,126.135
2002-11-01,126.641
2002-12-01,127.15
2003-01-01,127.652
2003-02-01,128.327
2003-03-01,129.31
2003-04-01,130.491
2003-05-01,131.841
2003-06-01,133.226
2003-07-01,134.648
2003-08-01,135.966
2003-09-01,137.077
2003-10-01,137.97899999999998
2003-11-01,138.769
2003-12-01,139.632
2004-01-01,140.711
2004-02-01,142.034
2004-03-01,144.085
2004-04-01,146.18200000000002
2004-05-01,148.336
2004-06-01,150.519
2004-07-01,152.338
2004-08-01,153.815
2004-09-01,155.109
2004-10-01,156.30100000000002
2004-11-01,157.499
2004-12-01,158.675
2005-01-01,160.136
2005-02-01,161.931
2005-03-01,164.582
2005-04-01,167.002
2005-05-01,169.544
2005-06-01,172.015
2005-07-01,174.097
2005-08-01,175.923
2005-09-01,177.612
2005-10-01,178.755
2005-11-01,179.678
2005-12-01,180.113
2006-01-01,180.834
2006-02-01,181.50599999999997
2006-03-01,182.755
2006-04-01,183.65200000000002
2006-05-01,184.38299999999998
2006-06-01,184.55200000000002
2006-07-01,184.615
2006-08-01,184.41299999999998
2006-09-01,184.207
2006-10-01,184.062
2006-11-01,183.639
2006-12-01,183.236
2007-01-01,182.72400000000002
2007-02-01,182.475
2007-03-01,182.197
2007-04-01,182.136
2007-05-01,181.89
2007-06-01,181.547
2007-07-01,181.00099999999998
2007-08-01,180.243
2007-09-01,179.13099999999997
2007-10-01,177.54
2007-11-01,175.172
2007-12-01,173.34599999999998
2008-01-01,171.083
2008-02-01,169.195
2008-03-01,167.908
2008-04-01,167.327
2008-05-01,167.02599999999998
2008-06-01,166.545
2008-07-01,165.72299999999998
2008-08-01,164.28799999999998
2008-09-01,161.922
2008-10-01,159.171
2008-11-01,156.079
2008-12-01,152.553
2009-01-01,149.371
2009-02-01,147.627
2009-03-01,146.524
2009-04-01,146.951
2009-05-01,148.178
2009-06-01,149.803
2009-07-01,150.751
2009-08-01,150.668
2009-09-01,149.627
2009-10-01,148.588
2009-11-01,147.945
2009-12-01,146.674
2010-01-01,145.003
2010-02-01,143.056
2010-03-01,143.596
2010-04-01,145.399
2010-05-01,147.033
2010-06-01,147.697
2010-07-01,147.554
2010-08-01,146.416
2010-09-01,144.599
2010-10-01,143.127
2010-11-01,141.82299999999998
2010-12-01,140.636
2011-01-01,139.048
2011-02-01,137.744
2011-03-01,137.792
2011-04-01,139.155
2011-05-01,140.684
2011-06-01,141.936
2011-07-01,142.333
2011-08-01,141.776
2011-09-01,140.157
2011-10-01,138.39700000000002
2011-11-01,136.653
2011-12-01,135.157
2012-01-01,134.164
2012-02-01,134.0
2012-03-01,135.872
2012-04-01,138.477
2012-05-01,141.05100000000002
2012-06-01,143.17
2012-07-01,144.28
2012-08-01,144.704
2012-09-01,144.359
2012-10-01,143.972
2012-11-01,143.968
2012-12-01,143.875
2013-01-01,144.314
2013-02-01,145.16
2013-03-01,147.96
2013-04-01,150.974
2013-05-01,153.87
2013-06-01,156.442
2013-07-01,158.304
2013-08-01,159.41299999999998
2013-09-01,159.689
2013-10-01,159.566
2013-11-01,159.369
2013-12-01,159.289
2014-01-01,159.387
2014-02-01,159.89700000000002
2014-03-01,161.215
2014-04-01,162.993
2014-05-01,164.705
2014-06-01,166.23
2014-07-01,167.149
2014-08-01,167.46400000000003
2014-09-01,167.25799999999998
2014-10-01,166.929
2014-11-01,166.68099999999998
2014-12-01,166.49
2015-01-01,166.28799999999998
2015-02-01,166.676
2015-03-01,168.132
2015-04-01,170.00599999999997
2015-05-01,171.88299999999998
2015-06-01,173.483
2015-07-01,174.52700000000002
2015-08-01,174.97400000000002
2015-09-01,175.088
2015-10-01,175.1
2015-11-01,175.201
2015-12-01,175.179
2016-01-01,175.095
2016-02-01,175.334
2016-03-01,176.648
2016-04-01,178.533
2016-05-01,180.38400000000001
2016-06-01,181.97099999999998
2016-07-01,183.09099999999998
2016-08-01,183.74099999999999
2016-09-01,184.03799999999998
2016-10-01,184.12
2016-11-01,184.34
2016-12-01,184.517
2017-01-01,184.77
2017-02-01,185.138
2017-03-01,186.642
2017-04-01,188.649
2017-05-01,190.65200000000002
2017-06-01,192.396
2017-07-01,193.655
2017-08-01,194.498
2017-09-01,194.97400000000002
2017-10-01,195.24099999999999
2017-11-01,195.608
2017-12-01,196.015
2018-01-01,196.29
2018-02-01,197.082
2018-03-01,198.755
2018-04-01,200.799
2018-05-01,202.66099999999997
2018-06-01,204.265
2018-07-01,205.183
2018-08-01,205.554
2018-09-01,205.59900000000002
2018-10-01,205.59400000000002
2018-11-01,205.338
2018-12-01,204.935
2019-01-01,204.46099999999998
2019-02-01,204.71599999999998
2019-03-01,206.055
2019-04-01,207.963
2019-05-01,209.646
2019-06-01,210.868
2019-07-01,211.62599999999998
2019-08-01,212.06
